mark_markid,mark_name,mark_addr_sect,mark_addr,mark_name1,mark_subunit,mark_subname,mark_flag,mark_xcoor67,mark_ycoor67,mark_html,mark_engname,mark_spot,mark_memo,mark_self,mark_addr_lie,marklev1,marklev2,marklev3,marklev4,marklev5
0950148953,萊爾富便利商店北市北天店,北投區,中央北路四段8號,萊爾富,,,0,297455.749,2781082.85,www.hilife.com.tw/,Hi-Life Beitian Branch,0,,,一德里,休閒購物,生活購物,便利商店,,
0950148968,萊爾富便利商店北市民東店,內湖區,民權東路六段75號,萊爾富,,,0,308462.746,2773777.594,www.hilife.com.tw/,Hi-Life Mindong Branch,0,,,湖興里,休閒購物,生活購物,便利商店,,
0950148977,萊爾富便利商店北市同吉店,大同區,昌吉街63號,萊爾富,,,0,301096.002,2773389.876,www.hilife.com.tw/,Hi-Life Tongji Branch,0,,,揚雅里,休閒購物,生活購物,便利商店,,
0950148990,萊爾富便利商店北市安震店,大安區,安東街50之2號,萊爾富,,,0,303900.048,2770845.455,www.hilife.com.tw/,Hi-Life Anzhen Branch,0,,,誠安里,休閒購物,生活購物,便利商店,,
0950149051,萊爾富便利商店北市湖志店,內湖區,內湖路一段120巷16號,萊爾富,,,0,305926.693,2775255.949,www.hilife.com.tw/,Hi-Life Huzhi Branch,0,,,西康里,休閒購物,生活購物,便利商店,,
0950148945,萊爾富便利商店北市內湖二店,內湖區,成功路二段318之1號,萊爾富,,,0,308742.081,2773585.498,www.hilife.com.tw/,Hi-Life Neihu 2 Branch,0,,,湖興里,休閒購物,生活購物,便利商店,,
0950149006,萊爾富便利商店北市承德店,士林區,承德路四段80巷59號,萊爾富,,,0,301757.015,2775313.041,www.hilife.com.tw/,Hi-Life Chengde Branch,0,,,承德里,休閒購物,生活購物,便利商店,,
0950148939,萊爾富便利商店北市山華店,中山區,長春路208號,萊爾富,,,0,303390.044,2772140.922,www.hilife.com.tw/,Hi-Life Shanhua Branch,0,,,復華里,休閒購物,生活購物,便利商店,,
0950149002,萊爾富便利商店北市和平店,中正區,延平南路210號,萊爾富,,,0,300379.164,2769928.078,www.hilife.com.tw/,Hi-Life Heping Branch,0,,,愛國里,休閒購物,生活購物,便利商店,,
0950149017,萊爾富便利商店北市松華店,松山區,南京東路五段34號,萊爾富,,,0,305606.367,2771781.724,www.hilife.com.tw/,Hi-Life Songhua Branch,0,,,吉祥里,休閒購物,生活購物,便利商店,,
