mark_markid,mark_name,mark_addr_sect,mark_addr,mark_name1,mark_subunit,mark_subname,mark_flag,mark_xcoor67,mark_ycoor67,mark_html,mark_engname,mark_spot,mark_memo,mark_self,mark_addr_lie,marklev1,marklev2,marklev3,marklev4,marklev5
0981017728,麥當勞台北木新店,文山區,木新路三段174號,,,,,305771.413,2764088.402,,,,,,樟腳里,美食佳餚,西式料理,速食店,,
0990802187,麥當勞公園分公司,中正區,公園路30號1樓,,,,,301322.402,2771008.164,,,,,,黎明里,美食佳餚,西式料理,速食店,,
1011003248,麥當勞,中正區,北平西路3號,,,,,301341.563,2771306.573,,,,,,黎明里,美食佳餚,西式料理,速食店,,
0950500146,麥當勞台北新光南西店,中山區,南京西路12號,,,,0,301761.864,2771878.774,www.mcdonalds.com.tw/,McDonalds Xinguang Nanxi Branch,1,,,民安里,美食佳餚,西式料理,速食店,,
0950500212,麥當勞台北石牌店,北投區,石牌路二段126號,,,,0,301344.609,2779140.163,www.mcdonalds.com.tw/,McDonalds Taipei Shipai Branch,1,,,振華里,美食佳餚,西式料理,速食店,,
0950104183,肯德基,內湖區,東湖路122號,,,,0,311342.745,2773667.631,,,1,,,五分里,美食佳餚,西式料理,速食店,,
0950500079,肯德基台北士林店,士林區,文林路88號,,,,0,302221.832,2775753.224,www.kfcclub.com.tw,KFC Taipei Shilin Branch,1,,,仁勇里,美食佳餚,西式料理,速食店,,
0950500204,肯德基台北興隆店,文山區,興隆路三段114號,,,,0,305442.186,2766005.773,www.kfcclub.com.tw,KFC Xing Long Branch,1,,,興得里,美食佳餚,西式料理,速食店,,
0950500078,肯德基台北天母店,士林區,天母東路6之4號1樓,,,,0,302700.452,2779158.017,www.kfcclub.com.tw,KFC Tianmu Branch,1,,,天福里,美食佳餚,西式料理,速食店,,
0950500238,肯德基台北101店,信義區,市府路45號地下1層,,,,0,306074.621,2769869.038,www.kfcclub.com.tw,KFC Taipei 101 Branch,1,,,西村里,美食佳餚,西式料理,速食店,,
0950500091,肯德基台北承德一店,大同區,承德路一段38號,,,,0,301313.58,2771707.565,www.kfcclub.com.tw,KFC Taipei Chengde Branch,1,,,建明里,美食佳餚,西式料理,速食店,,
0950500169,肯德基台北漢口店,中正區,漢口街一段50號,,,,0,300982.005,2771075.718,www.kfcclub.com.tw,KFC Hankou Branch,1,,,黎明里,美食佳餚,西式料理,速食店,,
0950500217,肯德基北投光明店,北投區,泉源路3之1號,,,,0,300005.371,2781213.405,www.kfcclub.com.tw,KFC Beitou Branch,1,,,中心里,美食佳餚,西式料理,速食店,,
